step,epoch,batch_loss,running_mean,trailing_mean
484,1,0.216916,0.226059,0.167279
485,1,0.156491,0.225915,0.167443
486,1,0.105954,0.225669,0.166574
487,1,0.229234,0.225676,0.167375
488,1,0.266507,0.22576,0.168244
489,1,0.145642,0.225596,0.167875
490,1,0.20831,0.22556,0.16885
491,1,0.168909,0.225445,0.168326
492,1,0.235663,0.225466,0.168541
493,1,0.155689,0.225324,0.1679
494,1,0.10781,0.225086,0.166456
495,1,0.17981,0.224995,0.166282
496,1,0.229936,0.225005,0.166276
497,1,0.143155,0.22484,0.16605
498,1,0.170993,0.224732,0.166052
499,1,0.146109,0.224575,0.166207
500,1,0.190077,0.224506,0.16633
501,1,0.117038,0.224291,0.166237
502,1,0.213638,0.22427,0.166661
503,1,0.124505,0.224071,0.166441
504,1,0.198777,0.224021,0.166723
505,1,0.195093,0.223964,0.166824
506,1,0.124422,0.223767,0.166548
507,1,0.13733,0.223597,0.166366
508,1,0.188901,0.223528,0.166823
509,1,0.106526,0.223299,0.166473
510,1,0.139273,0.223134,0.166844
511,1,0.137415,0.222966,0.166998
512,1,0.145409,0.222815,0.167061
513,1,0.139534,0.222652,0.167137
514,1,0.139507,0.222491,0.166984
515,1,0.15513,0.22236,0.166736
516,1,0.15832,0.222236,0.16683
517,1,0.189954,0.222173,0.167075
518,1,0.14061,0.222016,0.165865
519,1,0.17365,0.221923,0.166522
520,1,0.205711,0.221891,0.16689
521,1,0.138887,0.221732,0.167128
522,1,0.093489,0.221486,0.166505
523,1,0.105817,0.221265,0.166538
524,1,0.140741,0.221112,0.166421
525,1,0.166304,0.221007,0.166295
526,1,0.096653,0.220771,0.165579
527,1,0.121068,0.220582,0.16416
528,1,0.143197,0.220435,0.163954
529,1,0.14473,0.220292,0.164
530,1,0.14421,0.220148,0.16382
531,1,0.146652,0.22001,0.163863
532,1,0.118732,0.21982,0.162772
533,1,0.136443,0.219663,0.162535
534,1,0.144992,0.219523,0.16246
535,1,0.131876,0.219359,0.161811
536,1,0.136595,0.219205,0.162309
537,1,0.135129,0.219048,0.162144
538,1,0.120338,0.218865,0.162032
539,1,0.120328,0.218682,0.161878
540,1,0.194052,0.218637,0.162331
541,1,0.149394,0.218509,0.162154
542,1,0.126543,0.218339,0.161916
543,1,0.224398,0.21835,0.16217
544,1,0.146708,0.218218,0.161864
545,1,0.100039,0.218002,0.161921
546,1,0.228678,0.218021,0.162444
547,1,0.145727,0.217889,0.162237
548,1,0.21923,0.217891,0.162707
549,1,0.10664,0.217689,0.162385
550,1,0.15239,0.21757,0.162309
551,1,0.124128,0.2174,0.162264
552,1,0.218861,0.217403,0.16289
553,1,0.120482,0.217228,0.162336
554,1,0.178931,0.217159,0.162218
555,1,0.118478,0.216981,0.162291
556,1,0.231365,0.217007,0.163294
557,1,0.126243,0.216844,0.162589
558,1,0.178518,0.216775,0.163017
559,1,0.153966,0.216663,0.162957
560,1,0.133353,0.216514,0.161688
561,1,0.167042,0.216426,0.161886
562,1,0.180245,0.216361,0.16207
563,1,0.156885,0.216256,0.161675
564,1,0.135975,0.216113,0.16124
565,1,0.081734,0.215876,0.160385
566,1,0.160407,0.215778,0.16022
567,1,0.174487,0.215705,0.160272
568,1,0.178416,0.215639,0.159451
569,1,0.205323,0.215621,0.160542
570,1,0.141993,0.215492,0.160091
571,1,0.125881,0.215335,0.159615
572,1,0.179664,0.215272,0.159138
573,1,0.146859,0.215153,0.158374
574,1,0.242526,0.215201,0.158381
575,1,0.178542,0.215137,0.158754
576,1,0.146018,0.215017,0.158497
577,1,0.119044,0.214851,0.157511
578,1,0.230853,0.214878,0.158408
579,1,0.13789,0.214745,0.158348
580,1,0.183927,0.214692,0.1587
581,1,0.250605,0.214754,0.159405
582,1,0.101544,0.21456,0.158884
583,1,0.115351,0.214389,0.157935
584,1,0.146699,0.214274,0.157233
585,1,0.286613,0.214397,0.158534
586,1,0.163383,0.21431,0.159108
587,1,0.100315,0.214116,0.157819
588,1,0.163037,0.214029,0.156784
589,1,0.192273,0.213992,0.15725
590,1,0.134636,0.213858,0.156514
591,1,0.188232,0.213814,0.156707
592,1,0.139941,0.213689,0.15575
593,1,0.124444,0.213539,0.155437
594,1,0.095011,0.213339,0.155309
595,1,0.186943,0.213295,0.155381
596,1,0.199803,0.213272,0.155079
597,1,0.128731,0.213131,0.154935
598,1,0.094365,0.212932,0.154169
599,1,0.186766,0.212889,0.154575
600,1,0.100437,0.212701,0.153679
601,1,0.158741,0.212611,0.154096
602,1,0.159828,0.212524,0.153558
603,1,0.165919,0.212446,0.153972
604,1,0.144838,0.212334,0.153433
605,1,0.206816,0.212325,0.15355
606,1,0.136662,0.2122,0.153672
607,1,0.159924,0.212114,0.153898
608,1,0.150858,0.212014,0.153518
609,1,0.150408,0.211912,0.153957
610,1,0.084572,0.211704,0.15341
611,1,0.165273,0.211628,0.153688
612,1,0.138165,0.211508,0.153616
613,1,0.136279,0.211385,0.153583
